# Яндекс.Метрика, счётчик 45472341, «Страницы входа», 01.01.2021 — 31.12.2022 (пиковые годы), топ-200 по визитам.
# Всего визитов за период: 1 784 639, отказы 17,22 %. Выгружено 23.09.2026.
# Колонки: страница входа | визиты | отказы
/catalog/fermy_dlya_mayninga/mayning_fermy_na_amd/mayning_ferma_na_videokartakh_amd_rx_580/?oid=5082 | 1370 | 10,96%
/catalog/asic_maynery/whatsminer/whatsminer_m21s/?oid=3595 | 1369 | 18,33%
/catalog/asic_maynery/bitmain/bitmain_antminer_s17_pro/?oid=2374 | 1355 | 14,56%
/catalog/asic_maynery/bitmain/bitmain_antminer_s9i/?oid=2654 | 1355 | 15,88%
/catalog/fermy_dlya_mayninga/filter/clear/apply/?display=list | 1344 | 8,50%
/catalog/dopolnitelnye_tovary/konteynery/ | 1342 | 18,28%
/catalog/videokarty/videokarty_nvidia/videokarta_nvidia_rtx_a2000/ | 1341 | 25,40%
/catalog/komplektuyushchie/komplektuyushchie_dlya_mayning_fermy_na_12_gpu_videokart/materinskaya_plata_dlya_mayning_fermy_na_12_gpu_videokart/ | 1335 | 12,67%
/catalog/videokarty/videokarty_nvidia/videokarty_geforce_rtx_30/videokarta_gigabyte_geforce_rtx_3060_ti_gaming_oc_pro_8g/ | 1323 | 32,94%
/forum/?register=yes | 1309 | 35,79%
/catalog/asic_maynery/bitmain/bitmain_antminer_t9/?oid=2798 | 1307 | 19,02%
/catalog/?q=Материнская плата | 1305 | 5,24%
/sale/ | 1293 | 11,70%
/catalog/asic_maynery/bitmain/bitmain_antminer_s19/?oid=20146 | 1282 | 14,25%
/catalog/asic_maynery/bitmain/bitmain_antminer_t17e/?oid=3030 | 1268 | 18,02%
/catalog/asic_maynery/innosilicon/innosilicon_t3_pro_67t/ | 1266 | 23,01%
/catalog/asic_maynery/innosilicon/innosilicon_miner_t2t/?oid=3345 | 1265 | 12,93%
/company/staff/ | 1259 | 10,41%
/catalog/komplektuyushchie/komplektuyushchie_dlya_mayning_fermy_na_6_gpu_videokart/materinskaya_plata_dlya_mayning_fermy_na_6_gpu_videokart/ | 1257 | 19,43%
/catalog/asic_maynery/bitmain/bitmain_antminer_l3/?oid=3640 | 1248 | 15,08%
/catalog/videokarty/videokarty_nvidia/videokarta_msi_geforce_rtx_2060_super_ventus_oc/ | 1248 | 14,90%
