# Яндекс.Метрика, счётчик 45472341, «Страницы входа», 01.01.2024 — 31.12.2025 (последние два года старого сайта),
# точность 100 %, топ-110 из 1758 по визитам. Всего визитов: 149 036, отказы 38,04 %, 39 достижений избранных целей.
# Колонки: страница | визиты | посетители | отказы | глубина | время | достижения целей
# Строки /forum/?... со ставками, казино, «вебкамом», дипломами — это спам, которым был забит форум (см. отчёт).
/blog/sovety-pokupatelyam/gazoporshnevye-elektrostantsii-dlya-mayninga-effektivnoe-energosnabzhenie-dlya-maksimalnoy-pribyli/ | 107 | 97 | 14,02% | 1,41 | 1м43c | 0
/catalog/asic_maynery/bitmain/bitmain_antminer_s19k_pro/?oid=30578 | 104 | 62 | 10,58% | 1,66 | 1м59c | 0
/catalog/asic_maynery/goldshell/goldshell_lt5_pro_s_garantiey_3_mesyatsa/ | 102 | 87 | 37,25% | 1,32 | 50c | 0
/catalog/asic_maynery/bitmain/bitmain_antminer_s17_pro/ | 98 | 88 | 32,65% | 1,32 | 1м6c | 0
/company/ | 97 | 58 | 13,40% | 2,61 | 3м | 0
/blog/sovety-pokupatelyam/generatory-i-elektrika-dlya-avtonomnogo-mayninga-nadezhnoe-energosnabzhenie-vashey-fermy/ | 95 | 89 | 13,68% | 1,36 | 55c | 0
/catalog/asic_maynery/whatsminer/whatsminer_m50/?oid=28678 | 93 | 81 | 22,58% | 1,62 | 1м36c | 0
/catalog/asic_maynery/bitmain/bitmain_antminer_l7/?oid=30756 | 81 | 75 | 27,16% | 1,40 | 47c | 0
/catalog/dop_tovary_i_uslugi/ | 79 | 54 | 17,72% | 1,58 | 1м3c | 0
/catalog/mayning_fermy/mayning_ferma_na_12_kartakh_msi_geforce_rtx_2060_super_ventus/ | 78 | 66 | 23,08% | 1,45 | 1м | 0
/forum/ | 77 | 68 | 6,49% | 4,43 | 2м6c | 0
/blog/novosti-kriptomira/mayning-treyding-investitsii-kak-zarabatyvat-s-minimalnymi-riskami/ | 76 | 61 | 18,42% | 1,43 | 51c | 0
/catalog/dop_tovary_i_uslugi/koshelek_dlya_kriptovalyut_ledger_nano_s/ | 76 | 64 | 27,63% | 1,66 | 1м1c | 0
/catalog/asic_maynery/bitmain/bitmain_antminer_s19j_pro/?oid=7661 | 73 | 66 | 32,88% | 1,64 | 1м33c | 0
/company/reviews/ | 73 | 66 | 16,44% | 3,10 | 2м58c | 0
/blog/obzory-mayning-oborudovaniya/obzor-videokarty-palit-rtx-3070-jetstream-vysokaya-energoeffektivnost-i-otlichnoe-okhlazhdenie/ | 68 | 68 | 5,88% | 2,88 | 1м9c | 0
/blog/obzory-mayning-oborudovaniya/top-10-asic-maynerov-2024-goda-i-novinki-2025-goda-vashi-luchshie-resheniya-dlya-uspeshnogo-mayninga/ | 67 | 54 | 25,37% | 1,22 | 2м18c | 0
/catalog/asic_maynery/goldshell_kd_box/?oid=28281 | 66 | 65 | 34,85% | 2,94 | 1м19c | 0
/catalog/asic_maynery/linzhi/linzhi_phoenix/ | 62 | 62 | 35,48% | 1,32 | 34c | 0
/catalog/komplektuyushchie/bloki_pitaniya/ | 59 | 54 | 13,56% | 1,95 | 2м11c | 0
