Название;Раздел;Цена, ₽;Наличие;Артикул;Архивирована;Адрес;Фото;Фото в архиве;Описание (знаков);Артикул:;Потребление;Значения хешрейта;Окупаемость;Доходность;Артикул для заказа;Объем памяти;Тип памяти;Артикул для заказа:;Доходность обновлена:;Графический процессор (Чип);Объем видеопамяти;Графический процессор;Алгоритм хеширования;?Сколько требуется ватт на 1 MH/s Энергоэффективность W / MH;Энергоэффективность W / MH;?Считается как цена оборудования / хешрейт Стоимость 1 MH/s в руб.;Стоимость 1 MH/s в руб.;Интерфейс памяти;Частота памяти;Максимальное разрешение;Выход HDMI;Видеовыходы;Количество ядер CUDA®;Частота процессора;Производитель;OpenGL;Рекомендуемая мощность БП;Поддержка SLI/CrossFire;Поддержка мониторов;Техпроцесс;Количество занимаемых слотов;Сообщение;Возможна покупка с НДС;Вес, кг;Размер, мм;Поддержка водяного охлаждения;? Сколько требуется ватт на 1 MH/s Энергоэффективность W / MH;? Считается как цена оборудования / хешрейт Стоимость 1 MH/s в руб.;Энергопотребление, W;Low Hash Rate (LHR);Производитель видеопроцессора (видеокарта);Интерфейс (видеокарта);За 30 дней;Гарантия, мес.;Артикул;Серия (видеокарта);Кодовое название графического процессора (видеокарта)
Видеокарта Gigabyte GeForce GTX 1060 Mini ITX OC 6G (GV-N1060IXOC-6GD);Каталог / Видеокарты / Видеокарты NVIDIA;;Ожидаем поставку;1692;2023-02-03;https://miningshop.ru/catalog/videokarty/videokarty_nvidia/videokarta_gigabyte_geforce_gtx_1060_mini_itx_oc_6g_gv_n1060ixoc_6gd/;https://miningshop.ru/upload/iblock/4d2/4d231d33f2432f661c0c68e4f4710887.png https://miningshop.ru/upload/iblock/336/33662f6b39e2a0b58c0e45418a8f713b.png https://miningshop.ru/upload/iblock/e10/e10ac919e9404699cd5090cd05362f0f.png https://miningshop.ru/upload/iblock/8a1/8a11d8304a51b4d59618b1de15a438e4.png https://miningshop.ru/upload/iblock/b56/b56d173d666d8d6a782a30e3a666c856.png;;889;1692;;;;;1692;6144 МБ;GDDR5;;;;;;;;;;;;;;;;;;GIGABYTE;;;;;;;;;;;;;;;;;;;;;;
Видеокарта Gigabyte GeForce GTX 1060 WINDFORCE OC (GV-N1060WF2OC-6GD);Каталог / Видеокарты / Видеокарты NVIDIA;;Ожидаем поставку;1728;2022-11-30;https://miningshop.ru/catalog/videokarty/videokarty_nvidia/videokarta_gigabyte_geforce_gtx_1060_windforce_oc_gv_n1060wf2oc_6gd/;https://miningshop.ru/upload/iblock/5f6/5f617cb3b1094433d2d192e0a9f53bd1.jpg;;304;1728;90;23.99;;;;6144 МБ;GDDR5;;;NVIDIA GeForce GTX 1060;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Видеокарта GIGABYTE GeForce GTX 1060 XTREME GAMING (GV-N1060XTREME-6GD);Каталог / Видеокарты / Видеокарты NVIDIA;;Ожидаем поставку;1740;2022-12-02;https://miningshop.ru/catalog/videokarty/videokarty_nvidia/videokarta_gigabyte_geforce_gtx_1060_xtreme_gaming_gv_n1060xtreme_6gd/;https://miningshop.ru/upload/iblock/aaa/aaac3986a79bce6c5b3a337b96205853.png https://miningshop.ru/upload/iblock/a4a/a4aa1788840eef7329f9ed36a6feda1a.png https://miningshop.ru/upload/iblock/660/66074cbc11882dfa8111fd6d847c98a2.png https://miningshop.ru/upload/iblock/ae1/ae1e87978735f345b55367bf783b20ba.png https://miningshop.ru/upload/iblock/3a7/3a74f5744539e7a27aadf435eb6f156e.png https://miningshop.ru/upload/iblock/f59/f59e3c9dbec802d36e1043d3846b3436.png https://miningshop.ru/upload/iblock/f86/f86b1557e66f237446b99dfed27d378d.png;;528;1740;90;23.99;;;;6144 МБ;GDDR5;;;NVIDIA GeForce GTX 1060;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Видеокарта Gigabyte GeForce GTX 1070 G1 Gaming 8GB;Каталог / Видеокарты / Видеокарты NVIDIA;;Нет в наличии;;2020-12-02;https://miningshop.ru/catalog/videokarty/videokarty_nvidia/videokarta_gigabyte_geforce_gtx_1070_g1_gaming_8gb/;https://miningshop.ru/upload/iblock/d7b/d7bbe16d55b1f2e660bd86a6e5d46d9c.jpg;;5084;;;;;;;;GDDR5;;;;;NVIDIA GeForce GTX 1070;;;;;;256 - разрядная;8008;7680x4320;;Dual-link DVI-D *1HDMI-2.0b*1 (Максимальное разрешение: 4096x2160 @60 Гц)Display Port - 1.4 *3 (Максимальное разрешение: 7680x4320 @60 Гц);1920;;GIGABYTE;;500;Да;;16;;;;;;;;;;;;;;;;;
Видеокарта Gigabyte GeForce GTX 1070 Xtreme Gaming 8GB;Каталог / Видеокарты / Видеокарты NVIDIA;;Нет в наличии;;2020-11-29;https://miningshop.ru/catalog/videokarty/videokarty_nvidia/videokarta_gigabyte_geforce_gtx_1070_xtreme_gaming_8gb/;https://miningshop.ru/upload/iblock/3dc/3dc4279dd60c0320078da58273d21ad4.png;;4951;;;;;;;;GDDR5;;;;;NVIDIA GeForce GTX 1070;;;;;;256 - разрядная;8008;7680x4320;Да;Dual-link DVI-D *1HDMI-2.0b*1 (Максимальное разрешение: 4096x2160 @60 Гц)Display Port - 1.4 *3 (Максимальное разрешение: 7680x4320 @60 Гц);1920;;GIGABYTE;;500;Да;;16;;;;;;;;;;;;;;;;;
Видеокарта Gigabyte GeForce GTX 1080 Ti Gaming OC 11G (GV-N108TGAMING OC-11GD);Каталог / Видеокарты / Видеокарты NVIDIA;;Нет в наличии;GV-N108TGAMING-11GD;2020-11-29;https://miningshop.ru/catalog/videokarty/videokarty_nvidia/videokarta_gigabyte_geforce_gtx_1080_ti_gaming_oc_11g_gv_n108tgaming_oc_11gd/;https://miningshop.ru/upload/iblock/0ac/0ac82724e38f24144aa684e6832d299f.png https://miningshop.ru/upload/iblock/e40/e40f180849c90da9bdbec4f5dc799b59.png https://miningshop.ru/upload/iblock/fbf/fbff6513e8d3b5259a7600b6002c2885.png https://miningshop.ru/upload/iblock/268/2681ccaf33150b1da82e6a314ea43f3e.png https://miningshop.ru/upload/iblock/4c3/4c3a6b458af73f37a17e1f8e6033298d.png;;921;GV-N108TGAMING-11GD;;;;;;;GDDR5X;;;;11264 МБ;;;;;;;352 бит;11010;7680x4320;Да;"Dual-link DVI-D *1; HDMI-2.0b * 1 (Max Resolution: 4096x2160 @60 Hz); Display Port-1.4 *3 (Max Resolution: 7680x4320 @60 Hz)";3584;Boost: 1657 MHz / Base: 1544 MHz in OC modeBoost: 1632 MHz / Base: 1518 MHz in Gaming mode(Reference Card Boost: 1582 MHz / Base: 1480 MHz);GIGABYTE;OpenGL 4.5;600;Да;4;16 нм;2;;;1,439;37 x 280 x 114;нет;;;;;;;;;;;
Видеокарта Gigabyte GeForce GTX 1660 SUPER OC 6G;Каталог / Видеокарты / Видеокарты NVIDIA;72100.0;InStock;GV-N166SOC-6GD;2021-10-27;https://miningshop.ru/catalog/videokarty/videokarty_nvidia/videokarta_gigabyte_geforce_gtx_1660_super_oc_6g/;https://miningshop.ru/upload/iblock/595/59595acb5d0b1e6f51ec58e00cb3fee5.jpg https://miningshop.ru/upload/iblock/061/061170a09ebb8c5aa9d2d274da8035df.jpg https://miningshop.ru/upload/iblock/f7b/f7bab2b86fe4d2fd959362089dfb9c16.jpg https://miningshop.ru/upload/iblock/128/128bd99e345512d9463d7d9b1d111233.jpg https://miningshop.ru/upload/iblock/7a4/7a45d8c30eb6d676be033f624ce61e31.jpg https://miningshop.ru/upload/iblock/b55/b55f77663de3184f6e0d16be4399dfc8.jpg https://miningshop.ru/upload/iblock/e90/e902d68843d1e2a7f9c1325bc3534623.jpg;mirror/upload/resize_cache/iblock/061/400_400_140cd750bba9870f18aada2478b24840a/061170a09ebb8c5aa9d2d274da8035df.jpg mirror/upload/resize_cache/iblock/f7b/400_400_140cd750bba9870f18aada2478b24840a/f7bab2b86fe4d2fd959362089dfb9c16.jpg mirror/upload/resize_cache/iblock/128/400_400_140cd750bba9870f18aada2478b24840a/128bd99e345512d9463d7d9b1d111233.jpg mirror/upload/resize_cache/iblock/7a4/400_400_140cd750bba9870f18aada2478b24840a/7a45d8c30eb6d676be033f624ce61e31.jpg;1298;GV-N166SOC-6GD;100;29.5;460 дней;156,78 руб./день;5075;;;5075;;;6144 МБ;NVIDIA GeForce GTX 1660SUPER;DaggerHashimoto;3.39;3.39;2153;2153;;;;;;;;GIGABYTE;;;;;;;Обновлено: 21:00:12 27/10/2021;;;;;3.39;2153;;;;;;;;;
Видеокарта Gigabyte GeForce RTX 2060 MINI ITX OC (GV-N2060IXOC-6GD);Каталог / Видеокарты / Видеокарты NVIDIA;31000.0;InStock;GV-N2060IXOC-6GD;2020-11-25;https://miningshop.ru/catalog/videokarty/videokarty_nvidia/videokarta_gigabyte_geforce_rtx_2060_mini_itx_oc_gv_n2060ixoc_6gd/;https://miningshop.ru/upload/iblock/8ff/8ffa98f8a82c59106fd92efed0283873.jpg https://miningshop.ru/upload/iblock/fd7/fd77408c23f06214860b61f2f87ffa38.jpg https://miningshop.ru/upload/iblock/013/0132464d254f008f4d9e005941b74719.jpg https://miningshop.ru/upload/iblock/ee1/ee18c6ac7431db44f2cb9d009470df18.jpg;;444;GV-N2060IXOC-6GD;;;;;;;GDDR6;;;;6144 МБ;NVIDIA GeForce RTX 2060;;;;;;192 бит;14000;7680x4320;Да;HDMI, DisplayPort (3 шт);1920;1365 МГц / 1695 МГц;GIGABYTE;OpenGL 4.6;500;не поддерживается;4;12;2;;;0,75;170 x 121.3 x 36.4;не поддерживается;;;;;;;;;;;
Видеокарта Gigabyte GeForce RTX 2060 SUPER GAMING OC;Каталог / Видеокарты / Видеокарты NVIDIA;28700.0;InStock;Обновлено;2023-02-08;https://miningshop.ru/catalog/videokarty/videokarty_nvidia/videokarta_gigabyte_geforce_rtx_2060_super_gaming_oc/;https://miningshop.ru/upload/iblock/44e/9zty28af87srkskrkpjre086gnjhsbep.jpg https://miningshop.ru/upload/iblock/b90/hcxd43dn8rttpsih6qlvkhpw9zl9bwmm.png https://miningshop.ru/upload/iblock/472/3m436n20fa8e2dfv3d4c80h8s1yjalq5.png https://miningshop.ru/upload/iblock/58e/cz1l7en65bezhzgcdfhpe15tmctpv2g0.png https://miningshop.ru/upload/iblock/5e6/wy6pjoxye2ph8o2t94jepee821jeiajj.png https://miningshop.ru/upload/iblock/ba4/920wkcmr0sfl0ujvk2xxsievbp8kh8zj.png https://miningshop.ru/upload/iblock/26b/7btk7qo9l1vovjybrbjkjqio4a4beu76.png https://miningshop.ru/upload/iblock/19b/3af9cz441tmds5px9cp0h30evlbyvogk.png;mirror/upload/resize_cache/iblock/b90/400_400_140cd750bba9870f18aada2478b24840a/hcxd43dn8rttpsih6qlvkhpw9zl9bwmm.png mirror/upload/resize_cache/iblock/472/400_400_140cd750bba9870f18aada2478b24840a/3m436n20fa8e2dfv3d4c80h8s1yjalq5.png mirror/upload/resize_cache/iblock/58e/400_400_140cd750bba9870f18aada2478b24840a/cz1l7en65bezhzgcdfhpe15tmctpv2g0.png mirror/upload/resize_cache/iblock/5e6/400_400_140cd750bba9870f18aada2478b24840a/wy6pjoxye2ph8o2t94jepee821jeiajj.png mirror/upload/iblock/ba4/920wkcmr0sfl0ujvk2xxsievbp8kh8zj.png;3495;;110;42.25;INF;0;;8 Гб;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Видеокарта Gigabyte GeForce RTX 2070 AORUS (GV-N2070AORUS-8GC);Каталог / Видеокарты / Видеокарты NVIDIA;;Ожидаем поставку;1915;2023-02-08;https://miningshop.ru/catalog/videokarty/videokarty_nvidia/videokarta_gigabyte_geforce_rtx_2070_aorus_gv_n2070aorus_8gc/;https://miningshop.ru/upload/iblock/19c/19c19787d16d039ac88a26393543c71a.png https://miningshop.ru/upload/iblock/0bc/0bc88738849703914124399cab59efd0.png https://miningshop.ru/upload/iblock/4af/4afd661d7458531998deabebbbce8d01.png https://miningshop.ru/upload/iblock/315/315fb1b803698f63a67cfeced3b9f0c1.png https://miningshop.ru/upload/iblock/860/86036927c115337877cd6354230967c4.png https://miningshop.ru/upload/iblock/666/666696472acea78b3ea492c2bbf37ddc.png https://miningshop.ru/upload/iblock/d3f/d3fb4d169aac8f3e8ebe5948af584041.png https://miningshop.ru/upload/iblock/976/97602e20b804f9492496be2ed0ff36bf.png https://miningshop.ru/upload/iblock/008/008cda204660c74960ffe8f2203c7662.png;;382;1915;150;42.7;;;;8192 МБ;GDDR6;;;NVIDIA GeForce RTX 2070;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Видеокарта Gigabyte GeForce RTX 2070 AORUS XTREME (GV-N2070AORUS X-8GC);Каталог / Видеокарты / Видеокарты NVIDIA;;Нет в наличии;GV-N2070AORUS;2021-10-20;https://miningshop.ru/catalog/videokarty/videokarty_nvidia/videokarta_gigabyte_geforce_rtx_2070_aorus_xtreme_gv_n2070aorus_x_8gc/;https://miningshop.ru/upload/iblock/170/1708594590171adef47e7b7d4f4040c9.png https://miningshop.ru/upload/iblock/ce4/ce4db7eb581c68eaf79afbc5f45320f8.png https://miningshop.ru/upload/iblock/dfd/dfd4710dd62c7f0daf3c3c88ccff04c2.png https://miningshop.ru/upload/iblock/4ac/4ac43cf02de380060b86b8ceed92ee1e.png https://miningshop.ru/upload/iblock/e92/e92e230c7fce6a8e5a7bbd3055658234.png https://miningshop.ru/upload/iblock/d65/d65a5f2326242002dbfc6c7023b3e9db.png https://miningshop.ru/upload/iblock/a03/a037a846de2d845deaa01f718d4cc23a.png https://miningshop.ru/upload/iblock/923/923d0af3827383471da520e48f7f992c.png https://miningshop.ru/upload/iblock/163/1633113e95d164673192220eb2e83c72.png;;389;GV-N2070AORUS X-8GC;150;42.7;;;1932;;GDDR6;1932;;;8192 МБ;NVIDIA GeForce RTX 2070;;3.51;3.51;0;0;;;;;;;;GIGABYTE;;;;;;;;;;;;3.51;0;;;;;;;;;
Видеокарта GigaByte GeForce RTX 2070 GAMING 8G (GV-N2070GAMING-8GC);Каталог / Видеокарты / Видеокарты NVIDIA;;Ожидаем поставку;1923;2023-02-08;https://miningshop.ru/catalog/videokarty/videokarty_nvidia/videokarta_gigabyte_geforce_rtx_2070_gaming_8g_gv_n2070gaming_8gc/;https://miningshop.ru/upload/iblock/a02/a02d4a9b4e26ae74db7e3ad7ec2d7e88.png https://miningshop.ru/upload/iblock/5d1/5d1c56492724a56d946da2a0cda83311.png https://miningshop.ru/upload/iblock/163/1636db5bafa879660893f6f68cd1c63e.png https://miningshop.ru/upload/iblock/05e/05e2b69bbb91d1bac8dced55600ae105.png https://miningshop.ru/upload/iblock/90c/90ccf53b5ba845be4500319e31b9a233.png https://miningshop.ru/upload/iblock/913/913eb78f5cab9fde3b1c66914c9f69bb.png https://miningshop.ru/upload/iblock/145/145bac14bcee41541405828e9294ade1.png https://miningshop.ru/upload/iblock/571/5718555fffe4e8f76bbbac03914696e7.png https://miningshop.ru/upload/iblock/d11/d118604945e2a37f99023c26a8051a8d.png https://miningshop.ru/upload/iblock/3d7/3d72ca02ab5063cce576ec527de2b8d8.png;;248;1923;;;;;1923;8192 МБ;GDDR6;;;;;;;;;;;;;;;;;;GIGABYTE;;;;;;;;;;;;;;;;;;;;;;
Видеокарта GigaByte GeForce RTX 2070 GAMING OC 8G (GV-N2070GAMING OC-8GC);Каталог / Видеокарты / Видеокарты NVIDIA;;Ожидаем поставку;1913;2023-02-03;https://miningshop.ru/catalog/videokarty/videokarty_nvidia/videokarta_gigabyte_geforce_rtx_2070_gaming_oc_8g_gv_n2070gaming_oc_8gc/;https://miningshop.ru/upload/iblock/31a/31af851f0f77185809ead0c4f5bae92e.png https://miningshop.ru/upload/iblock/3e6/3e661fb3bbf0f844cf85ab7bb7135ced.png https://miningshop.ru/upload/iblock/ab4/ab483fc453facd8abd3927f9864a5356.png https://miningshop.ru/upload/iblock/443/443257b997f44fb43dca0178481f99f8.png https://miningshop.ru/upload/iblock/61b/61b906775f1ad321cc994a7ea2311ad7.png https://miningshop.ru/upload/iblock/da6/da610a72dc8ad2557403cf1376dfa45c.png https://miningshop.ru/upload/iblock/511/5118a3098f6aa1a18a2c86ee19d431b0.png https://miningshop.ru/upload/iblock/782/78297bfd6c352103af20eac8d37ce746.png https://miningshop.ru/upload/iblock/0c4/0c4dc0c4de8ae148bdebf4b6e56f5302.png https://miningshop.ru/upload/iblock/26a/26a01e28a152d7faa7d6e177e553cd4e.png;;1078;1913;;;;;1913;8192 МБ;GDDR6;;;;;;;;;;;;;;;;;;GIGABYTE;;;;;;;;;;;;;;;;;;;;;;
Видеокарта GigaByte GeForce RTX 2070 GAMING OC WHITE 8G (GV-N2070GAMINGOC WHITE-8GC);Каталог / Видеокарты для майнинга по низкой цене в Москве / Видеокарты NVIDIA для майнинга в Москве;;Ожидаем поставку;1920;2022-08-15;https://miningshop.ru/catalog/videokarty/videokarty_nvidia/videokarta_gigabyte_geforce_rtx_2070_gaming_oc_white_8g_gv_n2070gamingoc_white_8gc/;https://miningshop.ru/upload/iblock/f2f/f2f18d529c5a4ab8dc14a7e6a874a354.png https://miningshop.ru/upload/iblock/a18/a18da115fbac234f5b30195c4d79270d.png https://miningshop.ru/upload/iblock/220/2203b264e343ce977b6898867f242956.png https://miningshop.ru/upload/iblock/c6e/c6e9774853838a67d5b135cd448625ea.png https://miningshop.ru/upload/iblock/8ff/8ff69608d52195fe6bd8a74c0f06d379.png https://miningshop.ru/upload/iblock/def/def643db279fb8421f1b9f9162918459.png https://miningshop.ru/upload/iblock/0dd/0ddbde70c9c4fd183fffe50df5d49e7c.png https://miningshop.ru/upload/iblock/8b7/8b789345dfaa95942f9d9e080e18eaf2.png https://miningshop.ru/upload/iblock/e4a/e4ab0c598682c6854a7ef094205d3e26.png https://miningshop.ru/upload/iblock/2d2/2d27dc178cfa67c2df2e27046ae82a02.png;;248;1920;;;;;1920;8192 МБ;GDDR6;;;;;;;;;;;;;;;;;;GIGABYTE;;;;;;;;;;;;;;;;;;;;;;
Видеокарта GigaByte GeForce RTX 2070 MINI ITX 8G (GV-N2070IX-8GC);Каталог / Видеокарты для майнинга по низкой цене в Москве / Видеокарты NVIDIA для майнинга в Москве;;Ожидаем поставку;1922;2022-08-09;https://miningshop.ru/catalog/videokarty/videokarty_nvidia/videokarta_gigabyte_geforce_rtx_2070_mini_itx_8g_gv_n2070ix_8gc/;https://miningshop.ru/upload/iblock/963/96390812b0c0802ae5b7e39a645fccdc.jpg https://miningshop.ru/upload/iblock/793/793cdb52be574845b8b99d0ee94a71a0.jpg https://miningshop.ru/upload/iblock/5a7/5a79417bf0875279f8346f3ebb9aa9d0.jpg https://miningshop.ru/upload/iblock/f49/f49587dd126d75ddff525a78febe8876.jpg https://miningshop.ru/upload/iblock/443/4434c2ba134bf87e4eda99e7f3f04122.jpg;;964;1922;;;;;1922;8192 МБ;GDDR6;;;;;;;;;;;;;;;;;;GIGABYTE;;;;;;;;;;;;;;;;;;;;;;
Видеокарта GigaByte GeForce RTX 2070 WINDFORCE 8G (GV-N2070WF3-8GC);Каталог / Видеокарты / Видеокарты NVIDIA;;Ожидаем поставку;1934;2023-02-08;https://miningshop.ru/catalog/videokarty/videokarty_nvidia/videokarta_gigabyte_geforce_rtx_2070_windforce_8g_gv_n2070wf3_8gc/;https://miningshop.ru/upload/iblock/a29/a293ae47ca6679fd47797e529d614d11.png https://miningshop.ru/upload/iblock/bc7/bc74cbdb6f5f5ecac3cca6f8ce585b15.png https://miningshop.ru/upload/iblock/7dd/7dda17a78c68bdcace41cb813bf219c4.png https://miningshop.ru/upload/iblock/17d/17daab691da0e6d03bc4a64ca1e1f03a.png https://miningshop.ru/upload/iblock/19d/19dfbb6655b4ee66c3706427f4bb68da.png https://miningshop.ru/upload/iblock/783/783a3088bb0aec4dfd5e251f999a4fa5.png https://miningshop.ru/upload/iblock/ea2/ea239f2db9ff3533b6c0650c5fc7667c.png https://miningshop.ru/upload/iblock/c59/c5931f1a4226f89f809caa15b2630805.png;;326;1934;150;42.7;;;;8192 МБ;GDDR6;;;NVIDIA GeForce RTX 2070;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Видеокарта Gigabyte GeForce RTX 2080 OC 8G (GV-N2080GAMING OC-8GC);Каталог / Видеокарты / Видеокарты NVIDIA;;Нет в наличии;GV-N2080GAMING;2021-10-27;https://miningshop.ru/catalog/videokarty/videokarty_nvidia/videokarta_gigabyte_geforce_rtx_2080_8192_mb_gv_n2080gaming_oc_8gc/;https://miningshop.ru/upload/iblock/993/9936d556f50d24b37bc8206f93f8e853.png https://miningshop.ru/upload/iblock/5ea/5ea8bc7acaed5568365db305340a43a6.png https://miningshop.ru/upload/iblock/f83/f83a4da67759fc40d5459e01ae8b6a9f.png https://miningshop.ru/upload/iblock/580/58017eef14aa938bc27f11aacaeffd5b.png https://miningshop.ru/upload/iblock/ff9/ff90ec4c8fe537f5d3669a9a2e4d4f3d.png https://miningshop.ru/upload/iblock/0ec/0ec1f77ef9046588a1d74fc3758a5c95.png https://miningshop.ru/upload/iblock/784/784064588005bff973c9123458860b5d.png https://miningshop.ru/upload/iblock/c72/c720144cb18d327cc7bdddfa8883e380.png https://miningshop.ru/upload/iblock/76f/76f97f845ccdc56c771de98e84263d1f.png;;870;GV-N2080GAMING OC-8GC;;;;;1938;;GDDR6;1938;;;8192 МБ;;;;;;;;;;;;;;GIGABYTE;;;;;;;;;;;;;;;;;;;;;;
Видеокарта GigaByte GeForce RTX 2080 AORUS XTREME (GV-N2080AORUS X-8GC);Каталог / Видеокарты / Видеокарты NVIDIA;;Нет в наличии;GV-N2080AORUS;2021-10-20;https://miningshop.ru/catalog/videokarty/videokarty_nvidia/videokarta_gigabyte_geforce_rtx_2080_aorus_xtreme_1890mhz_pci_e_3_0_8192mb_14140mhz_256_bit_usb_c_3x/;https://miningshop.ru/upload/iblock/575/575ee7c74fb0bc90273855732a21d004.png https://miningshop.ru/upload/iblock/56a/56afca9e95f4aeb25fdbb8fe35772224.png https://miningshop.ru/upload/iblock/069/069c4dea46d0a86121f3a973fb5eac46.png https://miningshop.ru/upload/iblock/622/6225d8a4db359fe174a6555dc9ad2e3a.png https://miningshop.ru/upload/iblock/067/0678b60b9c9a3794d493569e89ab0bc0.png https://miningshop.ru/upload/iblock/82c/82c0a466d574fb05dec86e948e473394.png https://miningshop.ru/upload/iblock/75b/75bc9d14a6bffd2b52e5a2feb2de904b.png https://miningshop.ru/upload/iblock/d15/d154896cd22c722a535d1b21994f9c92.png https://miningshop.ru/upload/iblock/ef0/ef0265d8ed5149b0fbf94f45a076d16c.png https://miningshop.ru/upload/iblock/41f/41f58b6a16d2903cff68c01b403886a9.png https://miningshop.ru/upload/iblock/e22/e22665f575d888add6aefa1834cdd177.png;;901;GV-N2080AORUS X-8GC;;;;;1954;;GDDR6;1954;;;;;;;;;;;;;;;;;GIGABYTE;;;;;;;;;;;;;;;;;;;;;;
Видеокарта Gigabyte GeForce RTX 2080 Ti AORUS XTREME (GV-N208TAORUS X-11GC);Каталог / Видеокарты / Видеокарты NVIDIA;66540.0;OutOfStock;GV-N208TAORUS;2021-10-20;https://miningshop.ru/catalog/videokarty/videokarty_nvidia/videokarta_gigabyte_geforce_rtx_2080_ti_aorus_xtreme_gv_n208taorus_x_11gc/;https://miningshop.ru/upload/iblock/f13/f13bd47a6e4d74471c8a9dbdcec273c1.jpg https://miningshop.ru/upload/iblock/0dd/0dd8d0d4546b16f1dfa5bc19096162ca.jpg https://miningshop.ru/upload/iblock/4ca/4cab1ffc050906aaac02407e39cb3674.jpg https://miningshop.ru/upload/iblock/d1c/d1c2d9f3e8a01292c7783f3966d80b83.jpg https://miningshop.ru/upload/iblock/43a/43a8dbd9f1b5749371cd33c7c83024a6.jpg https://miningshop.ru/upload/iblock/133/133ee439a0bff17a4efe093a86da6654.jpg https://miningshop.ru/upload/iblock/282/2827323aa6b257422d47b1ffdb13cf67.jpg https://miningshop.ru/upload/iblock/aec/aec59227cb734b0c4cf770480f27f7ad.jpg https://miningshop.ru/upload/iblock/c14/c148b094401cf2b17cf7571e2d868534.jpg https://miningshop.ru/upload/iblock/287/287312428b81ef9bfc783870bf3a1de9.jpg;;1095;GV-N208TAORUS X-11GC;220;59.21;211 дней;315,38 руб./день;1971;;GDDR6;1971;;;11264 МБ;NVIDIA GeForce RTX 2080 Ti;DaggerHashimoto;3.72;3.72;1124;1124;;;;;;;;GIGABYTE;;;;;;;Обновлено: 02:00:25 21/10/2021;;;;;3.72;1124;;;;;;;;;
Видеокарта GIGABYTE GeForce RTX 2080 Ti GAMING OC (GV-N208TGAMING OC-11GC);Каталог / Видеокарты / Видеокарты NVIDIA;90800.0;InStock;GV-N208TGAMING;2020-09-22;https://miningshop.ru/catalog/videokarty/videokarty_nvidia/videokarta_gigabyte_geforce_rtx_2080_ti_gaming_oc_gv_n208tgaming_oc_11gc/;https://miningshop.ru/upload/iblock/537/537e84cad5e74d5c8b68b83adb9d9a50.png https://miningshop.ru/upload/iblock/94a/94abd5a5b2976aefdb5b26bd903e0668.png https://miningshop.ru/upload/iblock/c7d/c7de21efd5fa8b6a756307dd16531542.png https://miningshop.ru/upload/iblock/7f9/7f992669314698a74afc2309d1ae3532.png https://miningshop.ru/upload/iblock/91d/91d5df1225806f7496300997727d2efb.png https://miningshop.ru/upload/iblock/ee7/ee7c17ca28b58ba2eb2d7b796f3c10d6.png https://miningshop.ru/upload/iblock/826/82662ca46a3c49f92725dade0b84f368.png https://miningshop.ru/upload/iblock/94c/94ccd4cae6fb538a9ea6d8b69e6898cd.png https://miningshop.ru/upload/iblock/79a/79a7e4dea813d29e7d57431058ab5a34.png;;824;GV-N208TGAMING OC-11GC;;;;;;;GDDR6;;;;11264 МБ;NVIDIA GeForce RTX 2080 Ti;;;;;;352 бит;14000;7680x4320;Да;USB-C, HDMI, DisplayPort (3 шт);4352;1350 МГц / 1665 МГц;;OpenGL 4.6;650;Да;4;12 нм;2,2;;;1.8;286.5 x 114.5 x 50.2;не поддерживается;;;;;;;;36;;;
Видеокарта GIGABYTE GeForce RTX 2080 Ti WINDFORCE OC (GV-N208TWF3OC-11GC);Каталог / Видеокарты / Видеокарты NVIDIA;;Ожидаем поставку;1972;2023-02-03;https://miningshop.ru/catalog/videokarty/videokarty_nvidia/videokarta_gigabyte_geforce_rtx_2080_ti_windforce_oc_gv_n208twf3oc_11gc/;https://miningshop.ru/upload/iblock/3e0/3e0c7a6d63c44cfdd4ee74f9d87bd0c5.png;;863;1972;220;59.21;;;;11264 МБ;GDDR6;;;NVIDIA GeForce RTX 2080 Ti;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
