Название;Раздел;Цена, ₽;Наличие;Артикул;Архивирована;Адрес;Фото;Фото в архиве;Описание (знаков);Артикул:;Потребление;Значения хешрейта;Окупаемость;Доходность;Артикул для заказа;Объем памяти;Тип памяти;Артикул для заказа:;Доходность обновлена:;Графический процессор (Чип);Объем видеопамяти;Графический процессор;Алгоритм хеширования;?Сколько требуется ватт на 1 MH/s Энергоэффективность W / MH;Энергоэффективность W / MH;?Считается как цена оборудования / хешрейт Стоимость 1 MH/s в руб.;Стоимость 1 MH/s в руб.;Интерфейс памяти;Частота памяти;Максимальное разрешение;Выход HDMI;Видеовыходы;Количество ядер CUDA®;Частота процессора;Производитель;OpenGL;Рекомендуемая мощность БП;Поддержка SLI/CrossFire;Поддержка мониторов;Техпроцесс;Количество занимаемых слотов;Сообщение;Возможна покупка с НДС;Вес, кг;Размер, мм;Поддержка водяного охлаждения;? Сколько требуется ватт на 1 MH/s Энергоэффективность W / MH;? Считается как цена оборудования / хешрейт Стоимость 1 MH/s в руб.;Энергопотребление, W;Low Hash Rate (LHR);Производитель видеопроцессора (видеокарта);Интерфейс (видеокарта);За 30 дней;Гарантия, мес.;Артикул;Серия (видеокарта);Кодовое название графического процессора (видеокарта)
Bitmain Antminer S19a;Каталог / ASIC Майнеры / Bitmain;257500.0;InStock;8490;2025-09-10;https://miningshop.ru/catalog/asic_maynery/bitmain/bitmain_antminer_s19a/;https://miningshop.ru/upload/iblock/567/3rey0c2mcybuip94v5n2jt7ekckfhn59.png;;0;8490;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bitmain Antminer S19j;Каталог / ASIC Майнеры / Bitmain;552000.0;InStock;7016;2024-02-27;https://miningshop.ru/catalog/asic_maynery/bitmain/bitmain_antminer_s19j/;https://miningshop.ru/upload/iblock/2a1/tt44zw04j0q1iz10a06eqvjbmtztngfh.png;;0;7016;3250 w;90 Th/s;;;7016;;;;;;;;SHA256;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bitmain Antminer S19j Pro;Каталог / ASIC Майнеры / Bitmain;151700.0;InStock;6787;2025-07-20;https://miningshop.ru/catalog/asic_maynery/bitmain/bitmain_antminer_s19j_pro/;https://miningshop.ru/upload/iblock/9ea/dt87zwgvtz0biy8vdnh2ccj3butqncwx/Screenshot_132.png;;0;6787;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15390;;;;
Bitmain Antminer S19K PRO;Каталог / ASIC Майнеры / Bitmain;141000.0;InStock;30574;2024-04-05;https://miningshop.ru/catalog/asic_maynery/bitmain/bitmain_antminer_s19k_pro/;https://miningshop.ru/upload/iblock/241/srk1364aykuy1zxlbl64xhmb0q7i670j/Снимок экрана 2023-11-09 в 18.05.24.png;mirror/upload/resize_cache/iblock/241/srk1364aykuy1zxlbl64xhmb0q7i670j/400_400_140cd750bba9870f18aada2478b24840a/Снимок экрана 2023-11-09 в 18.05.24.png;1770;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bitmain Antminer S19XP;Каталог / ASIC Майнеры / Bitmain;235100.0;InStock;8698;2025-07-20;https://miningshop.ru/catalog/asic_maynery/bitmain/bitmain_antminer_s19xp/;https://miningshop.ru/upload/iblock/e74/5mdf8flrxvpbj5esb47k5cato2v2ylm2.png;;418;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bitmain Antminer S7;Каталог / ASIC Майнеры / Bitmain;7500.0;InStock;1002;2023-06-26;https://miningshop.ru/catalog/asic_maynery/bitmain/bitmain_antminer_s7/;https://miningshop.ru/upload/iblock/c2e/c2e9c9bbeb88de094180077c744dcd39.jpg;;1094;1002;;4,7 Th/s;10;21;;;;;Обновлено: 13:00:03 17/01/2023;;;;SHA256;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bitmain Antminer S9;Каталог / ASIC Майнеры / Bitmain;10200.0;InStock;959;2023-06-26;https://miningshop.ru/catalog/asic_maynery/bitmain/bitmain_antminer_s9/;https://miningshop.ru/upload/iblock/12c/12cd16d98ec0346403893aab85467b6d.jpg;;3299;959;;13,5 Th/s;4;68;;;;;Обновлено: 13:00:03 17/01/2023;;;;SHA256;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bitmain Antminer S9 Dual;Каталог / ASIC Майнеры / Bitmain;5000.0;OutOfStock;4539;2023-04-02;https://miningshop.ru/catalog/asic_maynery/bitmain/bitmain_antminer_s9_dual/;https://miningshop.ru/upload/iblock/4ff/4ff15b4c6ad48c4f5df54772d1d6d6d2.jpg;mirror/upload/resize_cache/iblock/4ff/500_500_140cd750bba9870f18aada2478b24840a/4ff15b4c6ad48c4f5df54772d1d6d6d2.jpg;0;4539;;19-21 Th/s;2;100;;;;;Обновлено: 13:00:03 17/01/2023;;;;SHA256;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bitmain Antminer S9 SE;Каталог / ASIC Майнеры / Bitmain;4500.0;OutOfStock;982;2023-06-26;https://miningshop.ru/catalog/asic_maynery/bitmain/bitmain_antminer_s9_se/;https://miningshop.ru/upload/iblock/6df/6df005dcabcc20266b6bb2610d2614cf.png https://miningshop.ru/upload/iblock/098/098d981b58b8cce19257e4d86c36b504.png https://miningshop.ru/upload/iblock/27f/27f8ec4984d1892703ed570608a96f18.png https://miningshop.ru/upload/iblock/ed4/ed489aa054201633c30191f6f8d65cd5.png https://miningshop.ru/upload/iblock/72b/72b2e97a86f2beaf205b23b740d322fc.png https://miningshop.ru/upload/iblock/277/277f302b8671327e6886ba2a9d06227a.png;mirror/upload/resize_cache/iblock/098/400_400_140cd750bba9870f18aada2478b24840a/098d981b58b8cce19257e4d86c36b504.png mirror/upload/resize_cache/iblock/27f/400_400_140cd750bba9870f18aada2478b24840a/27f8ec4984d1892703ed570608a96f18.png mirror/upload/resize_cache/iblock/ed4/400_400_140cd750bba9870f18aada2478b24840a/ed489aa054201633c30191f6f8d65cd5.png mirror/upload/resize_cache/iblock/72b/400_400_140cd750bba9870f18aada2478b24840a/72b2e97a86f2beaf205b23b740d322fc.png;1246;982;;16-17 Th/s;2;85;;;;;Обновлено: 13:00:03 17/01/2023;;;;SHA256;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bitmain Antminer S9i;Каталог / ASIC Майнеры / Bitmain;11000.0;InStock;988;2023-06-26;https://miningshop.ru/catalog/asic_maynery/bitmain/bitmain_antminer_s9i/;https://miningshop.ru/upload/iblock/738/73820b50936b3e2ac9e9cad68f9888b1.jpg;;304;988;;13,5-14,5 Th/s;2;70;;;;;Обновлено: 13:00:03 17/01/2023;;;;SHA256;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bitmain Antminer S9i/j;Каталог / Асики ASIC Майнеры для майнинга по низкой цене в Москве / Асики Bitmain по низкой цене в Москве;45000.0;OutOfStock;4236;2022-05-20;https://miningshop.ru/catalog/asic_maynery/bitmain/bitmain_antminer_s9i_j/;"https://miningshop.ru/upload/iblock/bc2/bc28d10ebaaac60fd8afdae81d1ff76c.jpg data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==";;308;4236;;13,5-14,5 Th/s;3 месяца;106,18 руб./день;4236;;;4236;Обновлено: 03:00:02 20/05/2022;;;;SHA256;;;;;;;;;;;;;;;;;;;;;;;;;;1285;;;;;;;;
Bitmain Antminer S9i/j;Каталог / ASIC Майнеры по низкой цене с доставкой по России / Bitmain по низкой цене с доставкой по России;45000.0;InStock;4236;2021-10-27;https://miningshop.ru/catalog/asic_maynery/bitmain/bitmain_antminer_s9ij/;"https://miningshop.ru/upload/iblock/bc2/bc28d10ebaaac60fd8afdae81d1ff76c.jpg data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==";;308;;;13,5-14,5 Th/s;2 месяца;424,52 руб./день;4236;;;4236;;;;;SHA256;;;;;;;;;;;;;;;;;;;Обновлено: 10:00:03 31/03/2021;;;;;;;1285;;;;;;;;
Bitmain Antminer S9j;Каталог / ASIC Майнеры / Bitmain;11000.0;InStock;994;2023-06-26;https://miningshop.ru/catalog/asic_maynery/bitmain/bitmain_antminer_s9j_/;https://miningshop.ru/upload/iblock/536/536cbcbd3a68514aa8989545530d63c4.jpg;;170;994;;14-14,5 Th/s;17;69;;;;;Обновлено: 13:00:03 17/01/2023;;;;SHA256;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bitmain Antminer S9k;Каталог / ASIC Майнеры / Bitmain;10000.0;InStock;996;2023-06-26;https://miningshop.ru/catalog/asic_maynery/bitmain/bitmain_antminer_s9k/;https://miningshop.ru/upload/resize_cache/webp/upload/iblock/898/898338d3d159350fdf5765c692346914.webp;;3249;996;;13,5 - 14 Th/s;3;70;;;;;Обновлено: 13:00:03 17/01/2023;;;;SHA256;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bitmain Antminer T15;Каталог / ASIC Майнеры / Bitmain;53000.0;OutOfStock;6225;2023-06-26;https://miningshop.ru/catalog/asic_maynery/bitmain/bitmain_antminer_t15/;https://miningshop.ru/upload/iblock/56e/922mrs3tpj8t6skr462jjfh7aiue0dkn.jpg https://miningshop.ru/upload/iblock/a7e/gn97xandnin2ibd158vm0jzez916l2dn.jpg https://miningshop.ru/upload/iblock/b6b/zarlb78pfsx4ixolt41vppkzgdqt0v1t.jpg https://miningshop.ru/upload/iblock/47d/j7493qv9wh4h7mhe0b3y5ikwh5d6x3k8.jpg;mirror/upload/resize_cache/iblock/a7e/400_400_140cd750bba9870f18aada2478b24840a/gn97xandnin2ibd158vm0jzez916l2dn.jpg mirror/upload/resize_cache/iblock/b6b/400_400_140cd750bba9870f18aada2478b24840a/zarlb78pfsx4ixolt41vppkzgdqt0v1t.jpg mirror/upload/resize_cache/iblock/47d/400_400_140cd750bba9870f18aada2478b24840a/j7493qv9wh4h7mhe0b3y5ikwh5d6x3k8.jpg;0;6225;3000;23 Th/s;;;6225;;;;;;;;SHA256;;;;;;;;;;;;;;;;;;;;;;;;;;3000;;;;;;;;
